pid,BQ1,BQ2,BQ3,BQ3_n2,BQ4,BQ8,A001,B1,B2,B3,B4,B5_1,B5_2,B5_3,B5_4,B5_5,B6,B7_1,B7_2,B8_1,B8_2,B9_1,B9_2,B9_3,B9_4,B9_5,B9_6,B9_7,B9_8,B9_9,B9_10,B9_11,B10,B11,D1_1,D1_2,D1_3,D1_4,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D3,D4,D5_1,D5_2,D5_3,D5_4,D6,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E2_1,E2_2,E2_3,E2_4,E2_5,E2_6,E2_7,E2_8,E3_1,E3_2,E3_3,E3_4,E3_5,E3_6,E3_7,E3_8,E3_9,E3_10,E3_11,E3_12,E3_13,E3_14,E3_15,E3_16,E4_1,E4_2,E4_3,E4_4,E4_5,E5_1,E5_2,E5_3,E5_4,E6_1,E6_2,E6_3,E7_1,E7_2,E7_3,E7_4,E7_5,F1,F2,G1,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,H1_1,H1_2,H1_3,H1_4,H1_5,H1_6,H1_7,H2_1,H2_2,H3_1,H3_2,H3_3,H3_4,H3_5,H3_6,H3_7,H3_8,H3_9,H3_10,H4_1,H4_2,H4_3,H4_4,H4_5,H4_6,H5_1,H5_2,H5_3,H5_4,H5_5,H5_6,H5_7,H6_1,H6_2,H7,H8,H9,H9_1,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I2_1,I2_2,I2_3,I2_4,I2_5,J1_1,J1_2,J1_3,J1_4,J1_5,J1_6,J1_7,J2_1,J2_2,J2_3,J2_4,J2_5,J2_6,J2_7,J2_8,J2_9,J2_10,K1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,M3_1,M3_2,M3_3,M3_4,N1_1,N1_2,N1_3,N2_1,N2_2,N2_3,N2_4,BQ5,BQ5_1,BQ5_2,BQ5_3,BQ6,BQ7,BQ7_1,BQ7_2,BQ9,BQ9_1,BQ12_1,BQ12_2,BQ12_3,BQ13,BQ14,BQ14_1,BQ15_1,BQ15_2,BQ15_3,BQ15_4,BQ16_1,BQ16_2,BQ16_3,BQ16_4,X,DM1,DM2,DM3,DM4,DM5,DM6,DM7,DM8,DM9,DM10,WT
229455,12,1,61,6,4,5,1,1,3,3,5,3,3,3,3,3,10,3,4,4,4,3,3,3,2,3,3,3,2,3,2,2,1,2,4,4,4,2,1,1,1,1,1, ,2,3,1,1,1,2,1,10,9,4,4,0,4,4,5,5,5,10,9,8,7,6,5,5,5,1,1,1,1,3,1,5,5,1,1,2,1,1,1,3,2,1,2,2,2,2,3,3,5,2,2,2,2,3,4,4,4,4,5,4,9,1,4,1,4,1,3,2,2,3,4,3,2,2,1,2,3,5,3,1,1,1,3,4,2,1,3,1,3,1,3,3,2,1,3,1,1,1,3,4,1,1,1,2,1,1,1,2,1,2,3,2, ,7,7,7,4,6,5,4,2,1,5,5,5,50,100,100,75,50,50,50,2,2,2,2,2,1,2,2,1,1,7,5,5,1,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,6,2,2,2,2,2,2,2,4,3,2,2,4,3,3,3,3,11, , , ,2,1,2,2,3, ,8,6,3,3,10, ,2,2,2,2,3,2,2,2,1,1,6,4,2,8,7,1,1,1,6,.942447578331245
229650,13,2,50,5,4,2,2,1,4,3,4,4,4,4,5,4,30,2,3,3,3,3,3,4,3,2,2,2,2,3,2,3,1,1,4,3,4,3,2,1,2,2,1,1,2,2,2,2,2,2,1,8,8,3,8,2,8,5,7,5,5,9,8,7,5,5,5,5,5,2,2,2,1,5,3,5,5,2,3,3,1,1,3,4,3,2,2,3,2,2,2,2,4,3,2,3,3,3,4,3,3,3,7,3,2,2,4,1,4,2,3,2,2,2,4,3,4,2,2,2,3,4,3,3,1,4,3,3,1,1,3,3,3,2,3,4,3,2,4,3,3,3,4,4,2,1,3,2,4,2,1,1,1,2,3,3,2,6,6,6,5,5,4,5,4,4,5,3,5,50,75,50,30,10,50,30,2,2,1,1,1,1,1,2,1,1,5,6,6,2,5,2,5,4,6,6,5,5,5,5,5,4,5,5,5,4,2,2,2,2,2,2,2,4,2,2,3,5,2,1,2,3,5,1,1,1,4,1,2,1,3, ,5,3,4,3,1, ,2,2,2,2,3,2,2,2,1,2,5,4,2,5,4,1,1,1,1,.995237161807581
230347,8,2,62,6,2,5,2,2,4,2,4,4,3,4,5,3,40,2,2,1,1,3,3,2,3,3,2,2,2,2,2,2,1,1,4,4,3,2,2,1,2,4,2, ,1,4,2,2,9,2,1,7,7,5,6,6,6,6,5,5,5,8,5,5,5,5,1,5,2,2,2,2,1,3,3,3,3,1,5,3,2,3,3,5,4,2,3,3,3,2,5,5,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,2,3,2,3,5,2,5,5,5,5,2,5,4,3,4,2,3,2,5,4,3,1,1,3,2,3,1,3,3,1,1,3,2,2,2,3,3,2,2,2,2,3,3,1,2,1,2,3,3,3,6,7,7,5,4,4,4,4,4,3,2,2,50,75,50,25,25,50,0,1,2,1,2,1,1,1,2,2,2,5,5,6,2,5,2,5,2,7,6,5,5,5,6,4,4,5,3,5,5,3,4,2,3,2,2,2,4,2,2,3,4,2,2,3,3,3,1,3,2,2,1,2,2,2, ,4,9,4,4,98,1,9,1,2,2,2,2,2,2,1,2,6,2,1,3,3,1,1,1,1,1.00077537419091
231167,5,2,31,3,4,5,3,2,4,3,4,3,3,5,5,4,60,2,3,1,2,3,5,5,5,5,4,3,3,3,3,3,1,2,4,3,4,4,3,4,3,3,1, ,2,9,2,2,2,2,2,3,5,2,3,2,2,5,0,5,5,5,5,5,5,5,4,5,0,3,3,3,1,3,3,3,3,1,5,3,3,3,3,3,3,3,4,3,3,3,4,5,2,3,9,2,2,1,3,9,2,2,4,3,3,9,9,3,2,9,3,9,2,2,9,4,4,5,9,2,9,2,4,4,9,3,3,4,2,2,2,2,2,1,1,9,9,9,2,2,3,3,4,4,2,9,1,9,9,9,9,1,9,2,9,3,3,6,6,6,4,7,4,4,4,5,5,3,5,50,50,50,0,30,50,30,2,1,1,1,1,1,1,1,1,2,7,2,4,2,4,3,4,4,4,6,5,4,6,6,5,3,5,5,4,4,2,3,3,3,3,2,3,4,3,3,2,4,2,1,4,3,5,1,1,1,1,2, , ,3, ,6,1,4,99,98,99,2,2,2,2,2,3,2,2,1,2,3,4,2,5,5,9,2,1,99,.985353713663835
231176,8,2,51,5,2,2,3,2,3,3,4,4,4,5,5,5,20,1,2,1,3,2,4,2,2,1,2,4,2,2,1,4,1,1,4,4,4,4,4,4,4,4,4,4,2,1,1,1,1,2,1,8,9,7,7,9,9,8,8,7,7,10,9,8,8,7,6,7,7,1,2,2,2,3,3,3,2,2,3,3,2,3,3,4,2,2,2,3,2,2,3,4,4,3,2,2,3,3,4,4,4,4,3,2,1,4,4,2,4,2,1,2,1,2,2,2,2,1,2,2,2,3,2,4,2,3,3,4,1,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,2,3,2,2,2,2,1,1,2,2,4,3,1,7,7,7,7,7,6,6,3,2,5,3,5,70,80,70,60,60,60,50,2,2,2,2,2,2,2,2,2,2,3,6,6,6,6,5,6,6,6,7,7,7,6,6,7,6,6,6,5,5,1,2,2,1,2,2,2,4,1,3,3,4,1,2,3,3,8, , , ,2,2, , ,2, ,2,1,5,2,1, ,2,2,2,2,2,2,2,1,1,2,5,2,1,6,1,1,2,1,1,1.00276278497078
231346,8,1,64,6,2,5,3,2,2,2,4,2,3,3,4,3,40,2,2,1,2,3,3,3,3,3,2,3,3,3,3,3,9,1,4,4,4,4,3,3,3,3,3, ,3,2,1,1,2,2,1,4,6,6,6,6,4,5,4,6,3,7,7,7,7,6,5,5,5,3,3,3,3,3,4,4,4,2,3,2,2,2,2,3,2,2,3,3,3,3,3,3,3,4,2,3,2,4,4,4,3,3,6,4,1,2,3,2,3,2,2,3,3,2,4,3,4,3,9,2,2,4,2,2,2,3,3,3,2,2,3,2,3,2,3,3,3,2,4,3,3,3,4,4,2,2,2,4,3,3,2,1,2,2,4,3,2,7,7,7,3,4,5,5,2,3,4,5,3,50,50,60,20,10,30,40,2,2,2,2,1,1,1,1,1,1,5,7,6,6,6,7,6,6,6,5,5,6,3,3,5,5,5,5,5,5,3,4,2,3,3,2,2,3,3,2,2,5,2,3,3,3,11, , , ,2,1,2,2,2, ,3,2,4,8,98,2,2,2,2,2,3,2,3,2,1,1,6,2,1,8,2,3,2,1,2,.921406625827706
231637,8,1,59,5,6,1,2,2,4,2,2,4,3,5,5,4,50,2,3,3,3,1,3,4,3,2,2,2,2,2,2,2,1,2,4,4,3,3,3,2,3,3,3,2,2,2,2,2,2,2,1,8,8,6,6,4,5,5,5,5,5,10,9,6,5,5,3,5,4,2,2,2,1,3,2,3,3,1,3,3,1,3,4,5,2,2,3,2,2,2,3,2,4,4,2,3,2,4,4,4,4,4,7,4,1,1,3,1,3,2,2,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,5,4,2,2,3,2,3,1,2,3,3,2,4,3,3,3,4,4,2,2,2,3,4,2,2,1,3,2,3,3,1,7,7,7,4,6,6,5,2,3,4,3,4,75,75,75,40,0,65,50,1,1,1,1,1,1,1,1,1,1,6,4,2,1,2,3,1,3,6,7,7,6,6,6,6,4,5,6,6,5,3,4,4,3,2,2,2,3,2,2,2,4,3,2,2,2,10,1,2,2,2,1,2,2,4, ,7,2,4,5,8, ,3,2,3,2,4,3,2,3,1,1,5,2,2,8,6,2,1,1,5,.964497864406015
233624,1,2,52,5,4,5,2,2,2,2,2,2,2,2,2,2,60,2,4,2,2,1,3,3,3,3,2,2,2,3,2,3,1,1,3,3,3,2,4,2,2,2,4, ,2,2,2,2,2,2,1,7,7,0,1,5,1,8,0,5,5,9,9,6,6,6,6,7,7,2,2,2,2,5,4,5,5,2,5,2,1,1,3,3,3,2,3,3,3,2,3,3,4,3,3,3,3,3,3,3,3,3,8,4,2,2,4,2,3,2,3,2,2,2,5,2,2,2,3,2,2,2,3,3,2,4,4,3,2,1,3,1,3,1,3,4,4,3,3,3,3,3,4,4,3,2,2,3,3,3,2,1,2,2,2,3,3,6,7,5,4,5,5,4,2,3,5,4,2,80,50,50,10,90,50,50,1,1,1,1,1,1,2,1,1,1,5,3,3,3,5,3,5,3,6,6,5,5,3,3,4,5,5,3,5,5,4,2,2,2,3,2,2,3,3,3,3,4,3,3,4,3,8, , , ,2,1,2,1,4, ,4,8,3,6,8, ,3,1,3,2,2,3,3,3,1,2,5,1,2,6,3,3,1,1,5,.993131125847806
233694,3,2,60,6,1,1,4,2,2,1,4,1,1,5,5,3,30,3,4,1,3,3,3,5,3,3,2,3,2,3,1,5,2,1,3,3,3,3,3,2,2,2,3,4,1,1,2,2,2,1,2,0,1,1,1,1,1,2,2,2,2,7,4,6,4,5,3,4,4,1,2,2,1,2,5,3,4,1,5,3,2,3,3,4,2,3,3,3,2,2,5,5,3,4,1,2,1,4,4,4,4,2,0,2,9,3,3,1,4,3,3,2,1,2,3,3,4,2,3,1,1,1,3,2,1,4,5,2,2,1,3,2,3,1,3,3,3,1,3,2,1,1,3,3,2,2,2,2,2,1,2,2,2,2,9,4,2,7,7,7,4,4,4,4,3,4,2,3,3,100,50,50,50,0,20,30,1,1,1,1,1,1,1,1,1,1,6,7,5,5,7,7,7,7,6,6,6,6,6,5,6,6,6,6,4,5,2,3,2,2,1,2,2,4,3,2,2,4,2,1,3,3,11, , , ,2,1,2,2,3, ,3,1,5,8,2, ,3,2,2,2,3,3,3,2,1,2,6,5,1,8,2,3,2,1,2,.991194821860856
233899,3,2,54,5,6,2,4,3,5,3,5,4,5,4,5,5,0,1,2,2,2,2,2,4,2,2,2,5,1,2,1,4,1,2,4,4,4,4,2,2,2,1,2,1,2,2,1,1,1,2,2,1,2,0,2,1,2,6,9,8,0,10,8,8,5,5,6,6,7,2,3,3,1,4,5,5,5,2,2,4,1,2,2,3,2,4,4,4,2,2,2,4,2,4,2,2,2,3,4,3,2,2,9,3,1,2,3,2,3,2,3,2,2,3,5,3,4,2,4,2,2,3,4,3,2,4,5,4,2,4,2,1,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,2,3,3,2,1,3,2,2,3,2,5,7,5,4,5,4,6,2,3,5,2,4,75,100,50,75,25,50,50,2,2,2,2,1,1,1,1,1,1,2,5,6,2,5,2,5,3,7,6,5,2,5,2,7,5,6,7,3,2,1,1,2,2,1,1,1,4,2,4,2,4,4,4,3,4,7,1,1,1,2,1,2,2,4, ,7,2,4,2,98,8,2,1,2,2,3,2,2,2,1,2,5,5,2,5,6,1,2,2,5,.99316320689981
239291,8,2,63,6,2,1,9,9,9,3,3,4,4,4,4,3,50,2,3,2,1,3,2,3,3,3,2,3,3,4,3,4,1,2,4,3,4,4,4,2,2,2,2,9,2,2,1,1,1,2,2,5,2,0,1,1,1,5,5,5,1,5,5,7,7,5,5,1,5,3,4,4,1,5,4,4,4,1,2,4,3,3,3,3,3,3,3,3,3,2,3,3,3,3,2,3,2,4,4,4,4,4,5,3,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,4,2,2,4,3,3,2,9,9,9,2,9,9,3,9,2,4,4,1,4,5,4,5,4,4,4,5,5,5,9,5,85,5,5,5,0,0,0,1,1,1,1,1,1,1,1,1,1,4,6,4,4,5,5,4,5,4,4,4,4,4,5,5,4,5,5,5,5,4,2,3,2,2,1,2,4,2,3,3,5,2,2,3,3,10,1,1,1,1,2, , ,1,63,2,1,5,7,99,99,2,1,1,1,2,2,2,2,1,2,6,2,1,8,1,3,9,9,99,1.00077537419091
239775,4,2,58,5,2,3,3,2,2,2,5,4,4,3,5,3,20,1,2,2,3,2,3,2,2,2,1,3,2,3,2,2,1,2,4,4,4,4,4,4,4,4,4,4,1,2,1,1,1,2,1,5,5,2,2,2,2,4,5,2,2,9,8,5,5,5,3,5,5,2,2,2,1,4,4,4,3,1,4,2,1,1,3,4,3,2,3,3,2,3,4,4,3,3,3,3,2,3,3,3,3,2,3,2,1,2,3,2,3,9,3,2,1,2,3,2,4,2,3,2,2,3,3,5,2,5,3,3,1,1,1,1,1,1,2,3,2,3,3,2,2,1,2,2,2,2,1,2,3,3,2,1,9,2,2,4,3,5,7,5,4,5,4,4,4,4,5,3,3,50,75,50,50,50,50,25,1,1,1,2,1,1,1,2,2,2,4,4,5,4,5,3,6,5,6,6,6,5,5,5,5,4,6,6,5,4,2,2,3,2,2,2,2,4,2,2,2,5,3,1,4,3,8, , , ,2,1,2,2,4, ,5,1,4,5,98,98,2,2,2,2,2,3,3,3,1,2,5,2,1,6,4,2,2,1,99,1.00378192952846
241040,15,2,53,5,2,1,1,1,4,3,4,3,3,3,4,2,100,2,3,3,4,3,3,3,3,3,3,3,2,3,1,1,2,1,4,3,4,3,2,2,1,2,2,1,3,4,1,2,2,2,1,10,9,1,1,1,6,5,0,5,5,8,5,5,5,5,5,7,5,2,2,2,1,4,3,5,5,2,5,2,2,3,3,3,3,1,3,4,2,2,1,2,4,3,2,2,2,3,3,3,3,3,6,4,1,9,2,2,3,9,4,1,1,2,2,2,9,3,1,2,2,4,2,3,1,2,3,3,2,2,3,2,3,2,3,3,3,2,3,3,3,3,3,3,2,1,1,2,2,2,9,2,1,9,2,9, ,7,6,6,6,5,6,6,2,2,5,4,4,70,60,80,50,50,10,50,2,2,1,1,1,1,1,1,1,1,4,6,4,4,5,6,6,4,6,6,6,1,4,5,6,4,6,6,4,5,3,2,2,4,4,2,2,4,2,3,3,3,3,2,4,3,10,1,1,2,1,2, , ,1,3,2,1,5,1,1, ,2,2,2,2,2,3,9,3,1,2,5,6,1,8,1,1,1,1,1,.940622729016777
241880,7,2,55,5,4,3,2,2,3,3,4,4,4,3,5,3,30,1,1,1,1,2,3,2,2,3,2,4,2,2,2,4,1,2,4,4,4,4,4,4,4,4,4,4,2,2,1,1,1,2,2,7,5,0,0,0,5,5,6,4,5,10,7,5,5,5,5,4,2,2,2,5,2,5,5,5,5,2,3,3,1,3,3,3,2,3,3,4,2,3,4,4,4,3,2,2,2,3,3,3,3,9,4,2,1,1,4,2,4,2,3,2,2,1,5,4,2,1,3,4,4,2,5,5,2,5,5,5,1,2,2,1,3,2,2,3,2,1,2,2,3,3,3,3,2,2,3,2,4,3,3,3,1,2,2,4,1,6,7,7,4,4,5,5,3,4,5,3,5,75,75,0,25,0,0,50,1,1,1,1,2,1,2,1,1,1,3,6,3,4,4,1,5,1,7,7,7,6,6,6,5,5,6,4,6,4,2,2,2,2,2,2,2,4,4,2,1,5,1,1,4,3,10,1,3,2,2,1,2,2,3, ,7,4,4,2,98,6,3,2,3,3,4,3,4,4,1,2,5,6,2,8,6,1,1,1,4,.901060842232077
242903,8,2,49,4,4,2,2,1,3,3,3,2,3,3,5,3,60,2,3,2,3,2,4,3,2,2,2,2,2,2,2,2,1,1,4,4,4,4,3,2,2,1,2,1,4,4,1,1,1,2,2,9,9,6,2,4,7,7,6,4,4,10,9,8,5,5,5,5,5,2,2,2,1,3,3,5,3,2,3,3,1,2,2,3,3,2,2,4,3,2,2,2,4,3,3,3,3,3,4,3,3,4,3,3,1,2,4,2,4,2,4,2,2,2,4,3,3,2,2,2,2,4,5,2,2,2,4,5,1,1,3,1,2,1,2,3,3,1,3,2,2,2,3,3,2,3,2,2,3,2,2,2,1,9,2,3,3,7,6,6,4,5,4,6,4,2,5,4,2,25,75,50,75,50,50,50,2,2,2,2,2,1,1,1,1,2,3,6,4,1,7,3,7,6,6,6,3,4,5,6,7,4,6,6,4,5,2,2,2,2,3,2,2,4,2,2,2,5,3,1,3,3,3,1,1,2,1,2, , ,1,20,3,1,5,5,98,6,2,2,2,2,2,4,2,2,1,2,4,2,2,3,2,2,1,1,4,.9905906520677
242938,1,2,59,5,2,2,1,1,3,2,4,4,5,4,5,4,30,1,1,2,2,2,3,3,5,2,2,2,1,2,1,3,1,2,4,4,4,4,2,2,1,1,2,1,2,2,2,2,2,2,1,10,9,2,4,5,8,6,0,2,2,8,8,6,6,7,2,5,0,1,1,2,1,4,2,5,4,2,5,2,2,2,3,4,3,2,3,3,2,1,4,3,4,3,2,2,1,3,4,3,3,3,2,3,1,1,3,1,4,1,1,3,2,2,2,1,4,2,1,2,3,1,5,5,1,4,5,4,3,2,3,2,3,1,3,5,5,3,4,3,2,2,3,4,3,2,3,3,3,3,2,1,1,2,3,4,3,7,7,6,3,6,6,6,2,4,3,4,4,50,60,50,10,10,30,10,1,1,1,1,1,1,1,2,1,1,6,6,6,6,7,3,5,3,5,6,5,5,6,6,6,6,7,7,6,6,2,3,2,1,2,1,1,5,1,2,3,3,3,2,2,2,3,1,2,2,2,1,2,1,5, ,6,2,5,2,1, ,1,1,2,2,2,2,1,1,1,2,5,1,1,3,5,1,1,1,1,.993131125847806
242950,15,2,60,6,1,3,4,3,3,2,5,3,3,3,3,1,60,4,4,1,3,3,5,3,3,5,3,5,3,3,5,5,9,9,2,1,4,2,2,1,2,1,1,1,1,3,3,1,2,2,2,0,0,0,5,0,5,6,0,1,5,10,5,5,5,6,2,5,2,5,5,5,1,3,5,2,5,1,3,5,1,3,3,5,3,3,4,4,2,3,4,5,2,4,4,4,4,4,4,2,3,1,5,3,1,2,2,9,2,2,4,9,3,9,4,4,4,3,4,1,1,4,3,4,3,5,5,2,9,9,3,9,9,2,9,9,9,1,3,3,3,3,3,3,9,4,4,4,4,4,4,1,9,2,1,4,1,6,6,1,4,4,4,6,3,4,5,3,5,70,10,50,10,0,15,10,2,2,2,2,2,2,1,1,1,2,2,5,1,1,2,4,3,2,6,7,6,6,6,4,4,4,7,6,6,6,1,1,2,2,3,2,1,5,2,4,4,5,2,1,3,3,4,1,1,1,2,1,2,2,4, ,2,1,5,9,2, ,2,2,2,2,3,3,3,3,1,2,6,6,1,4,1,3,2,2,2,.938758475796124
244892,8,1,48,4,4,3,1,1,2,1,3,4,3,4,4,5,60,2,3,3,4,1,3,2,3,3,1,1,1,1,1,1,2,1,4,3,4,4,2,2,2,3,1,1,2,2,1,1,2,2,2,10,10,0,0,0,8,6,2,5,1,10,6,4,2,4,3,4,3,1,1,1,1,9,1,5,5,5,5,4,1,3,3,4,4,1,3,4,2,1,2,1,5,2,1,1,1,3,4,4,4,4,5,1,3,1,4,1,2,2,1,1,1,1,5,2,1,1,1,3,2,3,1,3,1,1,5,5,3,1,1,3,5,3,4,5,2,1,2,1,4,2,2,4,1,1,1,1,1,1,1,1,1,1,2,3,3,7,7,7,4,5,6,5,9,3,3,5,3,10,10,80,20,0,10,10,1,1,1,1,1,1,1,1,1,1,7,7,7,7,7,7,7,6,4,7,6,7,7,7,7,6,7,7,7,6,2,3,1,1,5,1,1,5,1,5,1,5,1,1,3,3,6,1,1,1,2,1,1,1,4, ,8,6,4,0,1, ,3,1,2,9,3,3,2,2,1,1,4,2,2,5,7,1,1,1,1,.981337608804099
246887,4,1,43,4,2,5,1,1,3,3,3,4,4,4,4,4,50,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,1,3,3,3,2,4,4,4,4,4, ,2,2,2,2,2,2,1,10,10,0,0,0,5,5,0,5,5,10,10,5,5,5,5,1,1,1,1,1,1,5,1,5,5,1,5,3,1,1,3,3,2,1,1,4,2,2,4,3,3,3,3,3,3,3,3,3,3,3,5,3,1,1,4,1,4,1,1,1,2,2,3,3,3,3,1,3,3,3,3,3,3,3,4,4,5,1,4,1,4,1,5,5,3,1,3,2,2,2,2,2,2,3,3,2,3,3,3,2,3,2,9,1, ,7,7,6,4,6,5,5,3,3,4,3,3,20,20,20,20,5,10,5,2,2,2,2,2,1,1,1,1,1,3,7,5,4,4,4,5,5,6,6,6,6,6,6,6,5,6,6,6,6,4,2,2,2,1,1,1,5,2,3,4,2,3,3,3,4,6,1,1,1,2,1,2,1,5, ,5,3,4,2,1, ,2,2,2,2,3,2,2,2,1,1,4,2,1,5,4,1,1,1,1,.98233497817027
247166,8,2,35,3,2,5,3,3,4,3,5,4,4,5,5,5,30,1,1,1,1,2,3,3,5,3,3,5,4,2,3,5,1,9,4,4,3,2,4,4,4,3,4, ,2,1,1,1,2,2,1,4,5,5,3,3,4,6,0,5,5,10,7,5,5,5,0,5,3,4,4,3,1,3,9,9,3,2,5,3,1,2,3,5,3,3,4,4,4,3,5,5,3,4,2,3,2,2,3,3,2,2,4,3,9,4,2,3,2,9,4,3,2,1,5,5,5,5,5,1,2,3,5,5,3,5,4,2,2,2,3,1,2,1,3,9,9,2,3,2,1,1,2,2,1,2,1,1,1,1,1,3,3,2,9,4,3,6,6,5,3,4,4,2,3,5,5,3,5,75,25,50,25,25,50,50,1,1,1,1,1,1,1,1,1,1,4,5,5,5,6,3,5,5,4,7,6,5,5,5,5,5,4,6,5,4,3,3,3,2,3,3,3,3,2,2,3,5,4,2,3,4,4,1,1,2,1,2, , ,2, ,6,1,4,5,98,98,9,9,9,9,2,2,2,2,1,2,3,2,1,4,5,2,2,2,99,.940322561012578
247415,11,2,70,6,2,3,3,2,3,3,4,4,4,3,4,4,60,1,1,1,1,2,3,3,5,2,2,3,2,2,2,3,1,2,4,4,4,4,4,4,4,4,4,4,3,3,3,1,1,2,1,3,3,3,2,3,3,3,6,5,5,10,10,9,8,5,4,4,1,1,2,2,2,2,4,3,2,2,5,4,1,1,2,4,3,3,3,3,3,2,5,5,4,4,3,3,3,3,2,2,3,2,7,4,9,1,4,1,4,1,2,2,2,2,3,3,4,3,3,1,3,3,3,4,4,4,3,3,1,1,2,2,2,2,2,2,2,3,2,2,3,3,3,3,1,2,2,3,1,3,1,1,3,2,2,3,1,7,7,6,2,5,5,5,5,3,5,4,2,50,50,50,20,0,20,19,1,1,1,1,1,1,1,2,2,2,3,6,2,6,7,7,7,6,7,6,6,5,6,5,6,5,5,6,6,5,3,2,2,2,2,2,2,4,2,2,2,4,2,1,2,3,8, , , ,2,1,2,2,2, ,1,1,4,10,2, ,1,1,1,1,2,2,2,2,1,2,6,3,1,6,1,3,2,1,2,.9876883418143
247476,8,2,63,6,4,2,2,1,3,3,4,4,4,4,4,3,20,2,3,3,3,3,4,4,4,2,2,4,2,2,2,1,9,2,4,3,3,3,3,3,4,4,4,4,3,3,2,2,2,2,2,8,7,5,4,3,5,5,6,5,5,9,8,7,5,5,5,5,5,2,2,2,1,4,3,5,4,3,2,3,2,2,3,4,3,2,3,4,2,2,4,3,3,4,3,4,4,3,3,3,3,4,4,3,1,9,3,2,3,2,3,2,2,2,3,3,4,3,2,2,2,4,3,2,2,4,5,5,3,2,2,1,3,2,3,9,3,1,4,3,3,2,3,4,2,2,2,2,3,3,2,2,1,2,9,3,3,7,7,6,4,5,4,4,2,3,3,3,3,70,80,50,50,20,40,40,2,2,1,2,1,1,1,2,1,1,5,6,5,4,5,3,5,4,6,6,6,5,4,5,5,4,5,5,5,5,1,2,2,2,3,2,2,4,2,3,4,5,2,2,3,4,2,3, , ,2,1,2,2,3, ,3,1,4,5,1, ,2,2,2,2,3,2,2,2,1,2,6,2,2,2,2,2,1,1,1,1.00077537419091
247884,4,1,42,4,2,1,2,2,3,2,2,2,2,2,5,4,60,1,1,2,2,2,3,3,3,3,3,5,3,3,3,2,1,1,4,4,4,3,4,4,4,4,4,4,2,3,2,2,2,9,1,7,6,4,1,1,4,0,0,2,4,10,7,6,5,5,5,5,5,3,3,3,3,3,3,4,4,2,4,3,3,3,3,3,3,9,4,4,4,4,5,5,4,3,2,3,2,2,3,2,3,3,6,3,2,4,2,4,2,4,4,5,3,5,5,4,5,4,4,1,1,5,3,2,2,2,3,3,2,2,2,1,3,1,3,3,2,1,3,2,2,2,2,2,2,1,1,1,1,1,4,2,1,2,9,2, ,6,6,6,3,5,5,5,3,2,2,2,2,20,50,50,40,30,30,50,2,1,1,1,1,1,1,1,1,1,7,6,3,2,4,1,7,1,5,5,5,4,5,4,5,4,4,4,4,4,2,3,3,2,2,2,2,3,3,2,4,3,3,2,2,3,4,1,1,1,1,2, , ,3, ,7,5,3,3,6, ,2,2,2,2,3,2,3,2,1,1,4,2,1,4,6,1,1,1,4,.98233497817027
248037,2,2,55,5,4,1,3,2,2,2,3,3,4,2,3,3,40,2,2,1,1,2,5,5,5,3,4,3,4,3,2,5,1,2,4,4,4,4,2,2,2,2,2,1,2,1,1,1,9,2,2,2,6,2,1,2,1,1,1,5,0,10,5,1,1,1,0,1,1,5,5,5,1,5,5,3,4,1,5,3,1,3,5,5,5,3,4,4,4,2,4,5,3,2,3,4,4,2,2,2,3,3,5,4,3,2,1,2,1,2,3,3,2,2,5,5,5,3,5,4,5,1,4,5,5,5,3,4,2,1,9,2,9,9,5,5,5,3,4,3,4,4,4,4,4,4,4,4,4,4,4,1,3,2,1,4,1,7,7,5,4,4,5,2,4,5,5,2,1,25,25,0,0,0,25,25,1,1,1,2,1,1,1,1,1,1,6,6,5,5,7,6,7,3,6,6,6,5,6,5,4,3,2,5,5,3,4,3,4,4,3,3,2,3,2,3,2,4,3,2,3,4,8, , , ,2,1,2,2,3, ,4,6,3,5,98,2,2,2,2,2,2,2,2,2,1,2,5,6,2,6,3,2,2,1,2,.918607740937919
