pid,BQ2,BQ3_n2,BQ4,B3,B5_1,B5_2,B5_3,B5_4,B5_5,E5_1,E5_2,E5_3,E5_4,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,J1_1,J1_2,J1_3,J1_4,J1_5,J1_6,J1_7,J2_1,J2_2,J2_3,J2_4,J2_5,J2_6,J2_7,J2_8,J2_9,J2_10,K1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,BQ7,BQ9,BQ12_1,BQ12_2
246887,1,4,2,3,4,4,4,4,4,4,3,3,3,7,7,6,4,6,5,5,20,20,20,20,5,10,5,2,2,2,2,2,1,1,1,1,1,3,7,5,4,4,4,5,5,6,6,6,6,6,6,6,5,6,6,6,6,4,2,2,2,1,1,5,5,3
247166,2,3,2,3,4,4,5,5,5,5,5,3,4,6,6,5,3,4,4,2,75,25,50,25,25,50,50,1,1,1,1,1,1,1,1,1,1,4,5,5,5,6,3,5,5,4,7,6,5,5,5,5,5,4,6,5,4,3,3,3,2,3,2,2,6,1
247415,2,6,2,3,4,4,3,4,4,5,5,4,4,7,7,6,2,5,5,5,50,50,50,20,0,20,19,1,1,1,1,1,1,1,2,2,2,3,6,2,6,7,7,7,6,7,6,6,5,6,5,6,5,5,6,6,5,3,2,2,2,2,1,2,1,1
247476,2,6,4,3,4,4,4,4,3,4,3,3,4,7,7,6,4,5,4,4,70,80,50,50,20,40,40,2,2,1,2,1,1,1,2,1,1,5,6,5,4,5,3,5,4,6,6,6,5,4,5,5,4,5,5,5,5,1,2,2,2,3,1,3,3,1
247884,1,4,2,2,2,2,2,5,4,5,5,4,3,6,6,6,3,5,5,5,20,50,50,40,30,30,50,2,1,1,1,1,1,1,1,1,1,7,6,3,2,4,1,7,1,5,5,5,4,5,4,5,4,4,4,4,4,2,3,3,2,2,2,3,7,5
248037,2,5,4,2,3,4,2,3,3,4,5,3,2,7,7,5,4,4,5,2,25,25,0,0,0,25,25,1,1,1,2,1,1,1,1,1,1,6,6,5,5,7,6,7,3,6,6,6,5,6,5,4,3,2,5,5,3,4,3,4,4,3,1,3,4,6
248074,1,3,4,2,4,4,5,5,4,3,2,4,2,7,6,6,3,5,3,4,25,75,75,0,0,25,50,1,1,1,1,1,1,1,1,1,1,5,4,3,1,3,2,2,3,5,5,4,5,5,5,6,4,5,4,5,4,2,3,2,2,3,2,2,4,1
248082,2,6,2,4,4,5,3,3,2,3,2,3,3,6,6,6,4,4,5,5,70,60,50,50,20,30,40,2,1,1,1,2,1,1,1,1,1,2,6,6,3,7,5,6,4,6,7,6,5,5,5,6,4,7,6,6,4,2,2,3,4,2,1,4,6,6
248176,2,6,2,3,4,4,4,4,4,2,2,3,3,7,7,7,4,7,5,5,49,65,50,45,5,49,47,2,2,1,2,1,1,2,2,1,2,7,3,1,1,6,3,5,3,7,7,4,5,5,4,6,5,6,6,5,4,2,2,2,2,2,2,2,4,6
248707,2,4,6,2,2,3,3,3,3,3,4,3,3,4,5,5,4,4,4,4,75,75,75,75,25,50,50,1,2,1,1,1,1,1,1,1,2,5,5,4,3,4,3,4,3,6,6,6,5,4,3,4,4,4,3,4,5,2,2,3,3,2,1,4,8,3
248959,2,5,2,3,5,4,4,4,4,2,1,4,4,6,5,6,4,5,5,4,50,75,25,25,0,50,50,2,2,1,1,1,1,1,2,1,1,3,4,6,2,6,7,6,5,4,4,5,5,5,4,6,5,5,5,5,5,2,3,2,2,1,2,2,3,3
249413,2,3,4,3,4,5,5,5,3,2,3,2,2,7,7,7,7,6,7,7,80,50,80,40,20,20,10,1,1,1,1,1,1,1,1,1,1,7,6,5,6,5,5,4,4,5,5,6,4,4,6,5,5,5,6,6,5,4,2,4,4,3,2,2,3,5
249600,2,4,2,2,4,3,5,4,3,5,5,3,3,6,7,6,5,6,6,5,60,50,50,30,20,30,70,1,1,1,2,1,1,1,2,2,2,5,5,4,4,5,3,5,4,5,6,6,4,5,5,5,4,4,5,5,4,3,2,3,2,2,1,3,5,4
250580,1,4,2,2,4,3,4,5,3,4,4,4,4,5,6,7,5,5,5,6,70,50,50,50,40,40,50,1,1,1,1,1,1,1,1,1,2,4,5,5,5,6,4,5,4,6,6,5,5,5,5,5,4,5,7,5,5,2,2,2,3,2,1,3,3,2
251360,2,6,2,2,3,4,4,4,2,4,4,4,4,6,6,6,5,5,4,5,30,50,50,60,0,40,20,1,1,1,2,2,1,2,1,1,2,6,7,4,6,6,3,6,3,5,5,4,5,4,3,5,5,3,5,4,4,2,1,3,2,4,1,2,6,8
251446,2,3,4,3,4,3,2,4,4,3,3,3,2,6,7,6,4,7,5,5,25,30,5,5,50,10,10,1,1,1,2,2,1,2,1,1,1,4,6,3,5,6,4,6,3,7,7,7,6,7,7,5,2,5,5,3,2,2,2,2,2,2,2,2,1,1
252051,2,6,4,3,4,4,4,5,4,3,3,4,3,6,6,6,4,4,5,4,60,50,50,40,10,30,40,1,1,1,2,1,1,1,1,1,1,5,5,3,1,5,2,2,3,5,6,4,5,5,4,5,5,5,6,5,5,2,2,2,2,2,1,3,6,5
252280,2,4,2,2,5,5,5,5,5,3,3,3,3,4,4,4,4,4,4,4,40,40,40,40,40,40,40,2,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,1,4,7,3
252390,2,3,2,4,5,5,5,5,5,5,5,5,5,4,5,4,5,4,4,4,50,50,50,50,50,50,50,2,2,1,1,1,1,1,1,1,1,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,4,2,2,2,2,2,1,4,4,1
