pid,BQ1,BQ2,BQ3,BQ3_n2,BQ4,BQ8,A001,B1,B2,B3,B4,B5_1,B5_2,B5_3,B5_4,B5_5,B7_1,B7_2,B8_1,B8_2,D1_1,D1_2,D1_3,D1_4,D2_1,D2_2,D2_3,D2_4,D2_5,D2_6,D3,D4,D5_1,D5_2,D5_3,D5_4,E3_1,E3_2,E3_3,E3_4,E3_5,E3_6,E3_7,E3_8,E3_9,E3_10,E3_11,E3_12,E3_13,E3_14,E3_15,E3_16,E4_1,E4_2,E4_3,E4_4,E4_5,E5_1,E5_2,E5_3,E5_4,F1,F2,G2_1,G2_2,G2_3,G2_4,G2_5,G2_6,G3_1,G3_2,G3_3,G3_4,G3_5,G3_6,G3_7,G3_8,H1_1,H1_2,H1_3,H1_4,H1_5,H1_6,H1_7,H5_1,H5_2,H5_3,H5_4,H5_5,H5_6,H5_7,H6_1,H6_2,H7,H8,H9,H9_1,I1_1,I1_2,I1_3,I1_4,I1_5,I1_6,I1_7,I2_1,I2_2,I2_3,I2_4,I2_5,J1_1,J1_2,J1_3,J1_4,J1_5,J1_6,J1_7,J2_1,J2_2,J2_3,J2_4,J2_5,J2_6,J2_7,J2_8,J2_9,J2_10,K1,L1_1,L1_2,L1_3,L1_4,L1_5,L1_6,L1_7,M1_1,M1_2,M1_3,M1_4,M1_5,M1_6,M1_7,M1_8,M1_9,M1_10,M1_11,M1_12,M2_1,M2_2,M2_3,M2_4,M2_5,BQ5,BQ5_1,BQ5_2,BQ5_3,BQ6,BQ7,BQ7_1,BQ7_2,BQ9,BQ9_1,BQ12_1,BQ12_2,BQ12_3,BQ13,BQ14,BQ14_1,BQ15_1,BQ15_2,BQ15_3,BQ15_4,BQ16_1,BQ16_2,BQ16_3,BQ16_4
67594,14,2,40,4,4,1,1,1,3,2,3,3,3,3,4,3,2,2,3,4,4,4,4,3,2,1,2,2,1,1,3,3,1,1,2,2,3,1,2,1,3,3,5,3,1,3,2,2,2,2,2,2,1,2,2,2,2,2,2,3,3,7,4,1,3,1,3,1,2,1,1,1,5,3,3,4,1,2,3,3,2,1,1,3,9,9,2,2,9,2,9,2,1,1,9,2, ,7,7,7,5,7,7,7,2,1,5,5,5,50,50,50,50,10,50,50,2,2,2,2,1,1,2,1,1,1,5,4,5,3,4,4,4,4,4,5,5,4,2,1,7,5,6,4,4,6,2,1,1,3,2,8, , , ,2,1,2,1,4, ,4,2,3,4,6, ,2,2,2,2,2,9,2,2
76259,15,1,45,4,4,5,3,2,2,3,2,2,1,2,2,2,3,9,4,4,4,4,4,2,3,2,2,2,2, ,3,3,2,2,2,2,2,3,4,1,5,5,5,5,3,4,4,2,3,3,3,3,2,3,4,2,4,2,3,3,2,3,3,1,3,2,4,3,2,4,5,4,5,5,4,2,4,1,2,5,4,3,1,1,2,1,1,1,1,1,1,2,1,2,4,2, ,7,5,6,7,5,3,3,3,2,4,2,5,25,75,100,50,10,5,5,2,2,2,2,2,1,1,2,1,1,3,2,3,1,1,2,2,2,2,3,2,3,3,4,3,4,3,2,3,3,2,3,3,3,2,5,1,1,1,2,1,2,1,3, ,4,1,5,2,6, ,1,1,1,2,3,2,2,2
79159,9,1,71,6,2,2,2,1,4,3,4,5,4,5,5,3,2,9,2,3,4,3,3,3,2,2,2,2,2,1,2,2,2,2,2,2,1,3,2,1,5,5,5,3,2,1,3,1,1,2,3,2,3,3,9,9,1,5,5,3,3,7,2,1,3,2,3,2,9,5,5,5,5,5,2,5,4,5,4,3,9,3,4,4,9,4,3,4,4,9,2,1,2,2,2,4,4,7,7,4,4,6,5,5,3,3,1,5,2,80,90,80,70,0,50,30,1,1,1,1,1,1,1,1,1,2,6,7,5,7,7,4,5,4,6,7,6,7,6,5,6,6,7,6,5,5,2,1,3,2,3,11, , , ,2,1,2,2,2, ,4,3,4,7,98,98,2,2,9,2,3,2,2,2
79472,12,1,44,4,2,2,2,2,2,2,3,4,4,4,4,3,2,2,2,2,3,3,3,3,2,2,3,2,3,1,3,3,3,3,3,3,2,2,3,1,3,3,3,3,2,3,2,1,1,3,4,4,2,3,3,4,2,3,3,3,3,6,4,2,3,2,2,2,2,3,2,2,3,3,3,2,3,2,3,3,4,3,2,4,3,3,2,3,3,2,2,2,1,2,3,3,2,4,5,4,4,5,4,4,3,3,4,4,4,75,50,75,25,25,50,25,1,2,1,2,1,1,1,1,1,1,4,6,5,4,5,4,5,4,5,6,4,5,5,4,4,5,5,5,5,4,2,2,2,2,2,4,1,1,1,2,1,2,1,4, ,3,2,4,7,98,98,2,2,3,2,3,3,3,3
84109,9,1,67,6,2,5,2,1,2,4,4,4,4,4,4,4,2,3,3,3,2,2,3,3,2,2,2,2,3, ,2,2,2,2,2,2,2,2,2,1,3,2,4,3,2,2,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,8,2,2,2,2,2,2,2,2,2,2,3,2,3,3,2,2,2,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2, ,6,6,5,4,5,5,5,2,2,5,4,3,75,50,25,25,25,25,25,1,1,1,1,1,1,1,1,1,1,5,5,5,4,4,4,3,4,5,5,4,4,5,5,5,4,4,5,5,5,2,2,2,2,2,11, , , ,2,1,2,2,2, ,2,1,5,5,1, ,2,2,1,2,2,2,2,2
96430,2,1,47,4,4,3,1,1,2,2,3,4,3,4,4,3,2,3,4,4,4,3,3,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,3,3,5,4,1,3,2,2,3,3,3,2,1,2,3,2,2,2,2,3,3,7,4,2,4,2,3,2,4,3,2,4,2,3,3,2,2,2,2,4,3,3,2,4,2,2,2,2,3,2,2,2,2,9,2,2, ,7,6,6,5,6,4,5,2,2,4,4,4,50,75,75,50,25,50,0,1,1,1,1,1,1,1,1,1,1,3,6,3,2,3,3,3,5,6,6,4,5,5,5,6,6,6,5,5,5,2,2,2,2,2,6,1,1,1,2,2, , ,2, ,6,4,3,4,1, ,3,3,3,3,2,2,2,2
102462,11,2,67,6,2,2,2,1,2,2,3,5,5,5,5,5,1,1,1,1,4,4,4,4,4,4,4,4,4,4,3,3,1,1,1,1,1,2,2,1,4,2,5,2,1,1,2,1,2,2,4,2,2,2,3,3,1,3,2,4,3,2,4,2,4,1,4,1,1,2,2,1,4,3,4,4,2,4,3,2,4,5,1,4,2,2,2,3,1,4,1,2,1,9,3,4,3,7,7,4,4,5,6,5,3,3,5,5,5,20,30,0,30,0,10,10,1,1,1,1,2,2,1,1,1,1,7,7,6,5,7,7,7,6,5,6,6,4,6,3,6,6,6,7,6,4,1,2,2,2,1,3,4, , ,3,1,2,2,1,2,2,1,5,2,1, ,9,1,2,2,3,2,3,2
104798,1,2,72,6,2,5,1,1,2,2,4,5,4,5,5,4,1,2,2,4,4,4,4,4,3,3,3,1,2, ,2,2,1,1,2,1,1,1,3,2,5,2,4,4,2,9,5,1,3,4,5,2,1,3,3,2,2,2,2,4,2,5,3,2,4,1,4,1,1,2,2,1,3,3,2,3,2,2,3,3,4,3,1,5,2,2,2,2,4,4,3,1,1,9,2,3,2,7,7,5,4,4,6,5,3,3,5,3,4,50,75,25,10,0,50,10,1,1,1,1,1,1,1,2,2,2,5,6,5,4,6,4,5,4,7,7,4,5,3,2,4,2,2,5,5,6,3,2,3,4,3,8, , , ,2,1,2,2,1,10,3,5,4,5,1, ,9,9,9,9,3,4,2,2
116354,9,1,52,5,2,5,2,2,3,3,4,4,3,4,4,4,2,2,2,3,3,4,3,3,3,3,4,4,3, ,3,3,2,2,2,2,2,2,2,1,2,1,3,3,2,3,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,6,3,2,3,2,3,2,2,2,2,2,3,2,2,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,9,3,2, ,6,6,5,6,6,6,5,2,2,3,2,3,75,75,60,50,50,50,50,2,2,2,2,1,1,1,2,1,1,5,4,4,3,3,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,2,2,2,2,3,2,2, , ,2,1,2,2,3, ,5,4,4,3,1, ,2,2,2,2,2,2,3,2
117340,6,1,59,5,4,5,2,1,4,3,4,4,4,4,4,4,3,4,2,2,4,4,4,2,2,2,3,2,3, ,3,3,2,2,2,2,1,1,2,1,4,4,5,5,2,5,5,1,4,4,4,3,2,3,4,4,3,3,3,5,1,3,2,3,2,3,2,3,4,4,2,3,5,5,4,5,2,1,1,5,3,3,1,2,2,1,2,1,1,2,2,2,1,2,2,9, ,7,7,7,5,6,6,6,3,2,4,5,5,50,75,100,75,25,25,50,1,1,1,1,1,1,1,1,1,1,3,6,6,5,5,1,7,4,7,7,7,6,6,5,6,6,4,7,5,4,2,3,3,3,4,10,1,1,1,2,1,2,2,4, ,6,1,4,1,10, ,9,2,9,2,4,4,3,3
121907,15,2,29,2,4,2,2,1,3,3,3,2,2,4,5,3,2,2,3,3,4,4,4,2,3,4,3,3,3,3,2,2,1,9,1,2,1,1,1,1,4,4,4,2,1,9,4,3,3,4,4,3,2,3,4,3,3,3,2,3,4,7,5,9,3,2,2,9,4,2,2,2,3,2,2,2,2,3,3,2,4,5,3,4,3,1,9,9,9,3,2,1,1,2,2,4,3,6,6,6,5,7,6,4,4,5,5,4,5,25,50,50,50,50,50,25,1,1,1,1,1,1,1,2,2,2,6,4,3,2,7,1,7,3,7,7,7,3,4,2,4,3,4,3,4,3,3,3,3,3,2,5,1,1,1,1,2, , ,2, ,3,2,4,3,98,1,2,1,2,2,3,2,3,2
121969,14,2,56,5,2,1,4,2,4,3,4,4,4,2,5,2,1,2,1,2,4,4,3,3,2,2,2,4,1,9,3,2,1,1,1,2,3,5,5,1,5,5,4,3,2,2,3,3,3,3,3,3,4,3,4,2,1,4,4,3,3,5,3,3,4,4,4,3,2,3,2,1,3,2,3,4,5,2,2,4,4,3,4,3,2,2,1,3,4,1,2,3,2,2,9,4,1,6,7,6,5,5,5,6,2,4,5,4,2,75,50,70,60,0,10,20,1,2,1,1,2,1,1,1,1,2,4,2,1,1,1,1,2,1,6,6,7,6,5,5,5,5,5,5,4,5,2,2,2,2,3,11, , , ,2,1,2,2,2, ,4,3,4,9,98,98,3,1,3,2,3,3,3,2
124783,8,2,35,3,4,5,2,1,2,2,5,4,4,5,5,4,3,3,4,3,4,3,3,3,1,2,2,1,2, ,2,1,2,2,2,2,3,3,3,2,4,3,5,4,2,5,3,1,3,3,3,2,2,3,4,3,3,3,3,3,3,3,3,3,2,2,2,3,3,2,2,1,4,3,4,2,3,3,3,4,4,3,2,4,3,3,3,4,2,2,3,2,2,2,3,3,3,6,6,6,4,5,5,5,3,4,3,2,3,10,80,70,50,60,40,50,2,1,1,2,1,1,1,1,1,1,5,5,4,3,5,4,4,4,5,5,5,6,6,5,5,5,4,5,5,4,3,4,3,3,4,8, , , ,2,1,1,2,3, ,5,1,4,1,1, ,2,1,2,2,2,3,3,2
124804,1,2,52,5,2,5,1,1,3,3,4,4,1,5,5,1,3,3,4,4,4,4,4,4,4,4,4,4,4, ,1,1,1,1,3,3,3,1,1,1,3,3,5,5,4,5,1,1,1,5,5,5,1,3,4,2,2,1,3,5,3,0,1,4,4,4,3,3,4,1,3,3,1,1,1,3,1,3,1,5,1,3,1,1,1,1,1,1,1,1,4,2,1,2,3,1, ,7,7,7,7,1,7,7,3,1,5,5,5,0,50,50,50,75,100,25,1,1,1,1,1,1,1,1,1,1,1,7,5,1,4,1,7,1,7,7,7,1,6,5,3,5,2,2,2,3,5,1,5,5,5,8, , , ,2,1,2,2,2, ,2,1,5,0,5, ,2,1,2,2,3,4,1,4
125620,4,2,52,5,2,5,2,2,4,3,4,5,5,5,5,5,1,1,1,1,4,4,4,3,1,1,1,1,1, ,2,1,1,1,2,3,2,2,2,1,3,3,4,3,1,5,3,1,3,4,5,3,2,1,4,3,2,3,3,2,3,7,2,1,4,1,4,1,4,1,2,2,2,2,4,3,2,1,2,3,2,3,3,4,1,1,1,1,1,1,2,1,3,2,1,4,3,6,7,6,5,6,6,7,2,4,5,1,2,50,50,50,0,25,25,0,2,1,1,1,1,1,1,1,1,1,7,7,6,6,7,4,7,4,7,7,7,1,5,6,5,3,3,5,4,5,3,2,3,3,2,8, , , ,2,1,2,2,3, ,4,1,4,5,98,99,1,1,1,1,2,2,2,2
125833,8,1,79,6,4,2,2,2,2,3,3,3,2,2,4,2,2,1,2,4,4,4,3,3,2,1,1,1,2,2,2,2,2,2,2,3,2,2,2,1,3,3,3,3,2,3,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,8,4,1,4,1,3,2,1,2,2,2,3,3,3,2,3,1,2,4,2,2,1,2,1,2,2,2,2,2,3,2,1,1,2,3,3,6,6,6,5,5,6,6,3,3,5,5,5,20,25,30,25,0,50,30,2,2,2,2,2,1,1,2,2,2,2,6,6,5,6,5,6,5,6,5,5,6,6,6,6,6,6,6,6,6,3,2,2,2,2,11, , , ,3,1,2,2,1,21,1,1,9,9,6, ,2,2,2,2,4,4,4,3
126443,15,1,40,4,4,3,1,1,2,3,4,4,4,2,4,4,1,2,4,4,4,4,4,4,2,2,2,2,2,1,2,2,1,1,2,2,1,1,2,1,3,1,5,4,1,5,2,1,3,3,4,1,1,2,3,2,2,1,2,5,4,7,4,1,3,1,2,1,4,1,1,1,3,2,2,2,1,4,2,4,2,2,1,3,2,2,2,1,2,2,2,2,3,2,3,2, ,7,7,7,5,7,7,6,3,2,3,5,5,25,75,50,60,0,50,50,2,1,1,1,2,1,1,1,1,1,5,7,2,5,4,2,5,2,6,6,6,5,5,2,5,5,6,5,5,4,1,2,2,2,1,4,1,1,1,2,1,1,2,4, ,5,3,4,2,1, ,2,2,2,2,3,3,2,3
128913,1,2,44,4,2,5,2,1,4,3,4,2,2,2,4,2,1,3,3,3,4,3,4,3,2,3,2,2,2, ,2,2,2,2,2,2,1,1,1,1,3,2,5,5,1,3,2,2,3,3,4,3,1,3,4,2,2,2,2,4,3,7,4,1,3,2,3,1,2,2,1,2,2,2,4,4,1,4,3,4,2,3,3,4,3,3,3,2,4,3,2,1,9,9,9,3,4,7,6,5,4,6,5,5,3,3,4,4,4,25,50,50,50,50,50,50,1,1,1,1,1,1,1,1,2,2,5,6,5,3,5,4,5,4,6,6,5,6,6,4,5,5,5,5,5,5,2,2,2,2,2,5,1,1,1,2,1,2,1,3, ,9,6,4,3,1, ,9,2,2,2,2,3,3,2
130930,8,1,47,4,2,1,2,2,4,2,5,4,4,2,5,3,2,3,4,4,3,4,4,3,4,4,4,4,1,4,2,3,2,1,2,2,1,1,2,1,3,3,5,5,1,3,2,1,1,3,3,3,2,4,3,1,2,4,4,4,3,3,2,2,3,2,4,2,4,3,1,3,4,4,4,1,2,1,2,4,3,3,1,4,2,2,2,1,2,2,1,2,1,2,3,3,2,7,7,6,4,5,4,4,4,4,5,5,5,25,75,100,50,75,50,0,1,1,1,2,1,1,2,2,1,1,6,6,7,3,5,1,5,3,6,6,5,3,1,5,6,7,5,7,5,5,2,2,3,2,2,5,1,1,1,2,1,2,1,3, ,3,1,4,3,1, ,2,2,2,2,1,2,3,2
132956,15,2,42,4,4,1,2,2,3,3,4,4,5,5,5,4,1,2,2,3,4,4,4,3,4,4,4,4,4,4,1,2,1,3,9,2,2,3,4,1,3,3,5,5,2,3,3,2,2,3,4,3,2,2,4,3,2,3,3,2,3,9,3,2,3,2,2,2,3,9,2,3,9,9,9,3,2,2,2,3,4,3,3,4,2,2,1,2,3,2,1,3,2,9,3,9, ,6,6,4,4,4,4,4,3,3,4,3,3,50,30,80,25,0,25,25,1,1,1,1,1,1,1,1,1,1,3,5,5,3,5,4,4,5,5,5,3,3,5,5,4,4,5,6,6,6,2,2,2,2,1,8, , , ,2,1,1,1,4, ,3,1,3,7,1, ,9,2,3,2,2,9,2,3
138023,8,2,59,5,2,3,3,2,3,3,3,4,5,4,5,4,2,3,1,2,4,4,3,3,3,3,3,4,3,4,1,2,1,2,2,2,2,3,3,1,3,3,3,3,1,3,2,2,2,3,3,2,3,2,3,2,2,4,3,3,3,5,4,2,3,2,2,3,3,3,2,2,3,4,4,3,3,2,3,3,4,5,3,4,3,2,2,3,4,3,1,1,1,2,4,4,1,7,7,7,5,6,5,5,2,3,5,3,4,50,75,50,50,50,50,50,1,1,1,1,1,1,1,1,1,1,4,5,3,4,4,4,4,3,5,6,5,5,5,4,6,5,6,6,5,5,2,2,2,3,3,8, , , ,2,1,2,2,3, ,5,1,4,6,2, ,2,2,2,2,2,2,2,2
138465,2,1,71,6,2,5,3,3,2,2,4,5,4,3,5,2,2,3,1,3,4,3,4,4,4,3,4,4,2, ,3,4,1,1,1,2,3,4,3,1,3,4,4,4,2,3,3,1,2,3,3,4,3,3,3,3,2,4,4,3,2,5,3,2,3,2,2,3,3,4,2,2,4,3,3,1,5,5,4,2,3,4,4,5,2,3,3,4,3,2,1,1,3,2,3,4,3,7,7,6,4,5,4,5,2,4,5,4,2,50,75,50,50,25,50,25,1,1,1,1,1,1,1,1,1,1,3,5,3,4,6,4,6,2,5,6,5,7,5,4,6,5,7,5,6,5,3,2,2,2,1,4,1,2,2,2,1,2,2,2, ,4,6,4,6,2, ,3,2,2,2,2,2,2,1
138850,8,1,39,3,2,5,1,1,1,1,5,3,1,1,5,3,3,4,2,2,2,1,2,2,2,2,2,2,9, ,4,4,2,2,9,1,1,1,1,1,5,1,5,5,3,5,3,2,3,5,5,2,1,4,4,2,2,3,3,4,4,7,3,9,1,9,3,9,3,1,1,1,5,1,1,2,1,5,1,3,3,3,1,2,3,3,2,3,1,2,2,1,1,9,2,2, ,7,6,6,4,4,4,1,3,3,2,5,5,0,50,100,0,0,0,0,2,2,2,1,2,1,2,2,1,1,1,5,7,1,6,1,7,5,7,7,7,7,4,1,4,2,2,4,1,1,5,3,5,5,5,4,1,1,1,1,2, , ,1,7,5,3,4,3,1, ,1,1,1,1,4,3,3,3
139049,1,1,61,6,2,3,9,2,3,3,4,3,3,4,5,3,2,2,2,3,4,4,4,4,2,2,3,3,3,4,2,2,2,2,2,2,3,3,3,1,5,3,3,3,1,3,3,1,2,2,3,3,3,2,2,2,3,5,4,3,4,5,3,2,3,2,3,2,2,2,2,3,3,3,3,2,3,2,2,4,3,3,3,3,2,3,3,3,3,2,1,3,1,9,9,3,3,7,7,7,4,6,5,6,2,3,3,4,3,75,50,75,50,0,25,25,1,2,1,2,1,1,1,1,1,1,6,6,2,4,6,4,6,5,5,5,4,6,6,6,6,6,6,6,5,6,1,2,2,3,2,5,1,1,1,2,1,2,2,3, ,3,1,3,8,2, ,2,2,2,2,2,2,3,2
